name,website,phone,address_1,city,state,zip,has_in_state,has_out_state,has_full_service,has_moving_labor,has_packing_services,has_containers,has_agent,has_art_antiques,has_auto_transport,has_broker,has_carrier_broker,has_commercial_moves,has_corporate_reloc,has_govt,has_industrial_movers,has_dod_cert,has_pianos,has_safes,Number of Trucks,Warehouse Size,Business Type,In Business Since,Better Business Bureau,usdot_row,state_license_row,state_association_row
"A Wise Move, Inc.",awisemoveinc.com,205-276-4416,"4500 5Th Ave S., Bldg D",Birmingham,AL,35222,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,"","","","","","",Not Found
Anytime Movers LLC,,256-534-8606,309 Lowery St,Huntsville,AL,35805,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,"","","","","","",Not Found
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,5350 Shaune Dr,Juneau,AK,99801,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Father  Son Moving  Storage of Denver Co Inc.,www.fandsmoving.com,303-322-6562,4744 Forest St #K,Denver,CO,80216,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,6,"","","","","",No,""
Federal Moving  Storage Co.,www.federalmovingandstorage.com,719-471-1780,709 E Nichols Blvd,Colorado Springs,CO,80907,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for National Van Lines
            ","","","",Inactive,""
First Class Movers,www.firstclassmoversllc.com,720-309-6321,9888 E Vassar Dr Apt C204,Denver,CO,80231,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",HHG-00281,""
Flatirons Moving  Storage,www.flatironsmoving.com,303-499-1151,"2740 47th, St",Denver,CO,80301,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,4,"","","","","",Inactive,""
Front Range Movers of Colorado Inc.,www.frontrangemoversco.com,303-841-6600,1106 N Castlewood Pl,Franktown,CO,80116,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,2,"","","","","",Canceled,""
Frontier Movers,www.frontiermovers.net,970-264-0988,654 Easy St,Pagosa Springs,CO,81147,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,3,"","","","","",HHG-00046,""
G K Moving  Storage,,720-621-8387,5382 E Asbury Ave,Denver,CO,80222,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00040,""
Gallagher Transport International,www.gallaghertransport.com,303-365-1000,4730 Oakland St. Suite 210,Denver,CO,80239,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","",HHG-00267,""
Galt Moving  Storage Inc.,www.movingdenver.com,303-795-8500,1299 W Littleton Blvd,Littleton,CO,80120,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,4,"","","","","",HHG-00101,""
Gate City Moving,www.gatecitymoving.com,303-744-8692,306 Washington,Denver,CO,80203,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,5,"","","","","",HHG-00001,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,11590 Rezanof W,Kodiak,AK,99615,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Gem Moving  Storage,www.mesamoving.com,970-242-1565,681 Railroad Blvd,Grand Junction,CO,81505,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Mayflower
            ","","","",HHG-00236,""
Gem Moving  Storage,www.gem-movingmontrose.com,970-249-3125,5146 N Townsend Ave ,Montrose,CO,81401,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Mayflower
            ","","","",HHG-00007,""
Golden Van Lines Inc.,www.goldenvanlines.com,303-900-7314,111 S Pratt Pkwy,Longmont,CO,80501,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,13,"","","","","",Inactive,""
Graebel Movers International,www.graebel.com,303-214-7495,16346 E Airport Circle,Aurora,CO,80011,true,true,true,false,false,false,false,true,true,false,false,true,false,true,false,true,true,false,828,"","","","","",Inactive,""
Graebel Van Lines Inc.,www.graebel.com,303-214-6600,16456 Airport Circle,Aurora,CO,80011,true,true,true,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,828,"","","","","",Inactive,""
Grand Mesa Moving Specialist LLC,,970-261-9317,2949 A S Palace Circle,Grand Junction,CO,81504,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00001,""
Grand Slam Moving LLC,www.grandslammoving.com,720-232-6154,7796 Ladore,Commerce City,CO,80022,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",Revoked,""
Grand Valley Moving  Storage Company Inc.,,970-245-7584,612 Yucca Dr,Grand Junction,CO,81503,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,"","","","","",Revoked,""
Harp Moving  Storage,,970-565-7500,127 N Market St,Cortez,CO,81321,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Mayflower
            ","","","",HHG-00291,""
Hediger Relocation Services,www.hedigerrelocation.com,303-526-9105,25 Pine Rd,Golden,CO,80401,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,false,true,true,"","","",1988,"","",No,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,44553 S. Airport Rd,Hammond,LA,70403,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","",Yes,""
