name,website,phone,address_1,city,state,zip,has_in_state,has_out_state,has_full_service,has_moving_labor,has_packing_services,has_containers,has_agent,has_art_antiques,has_auto_transport,has_broker,has_carrier_broker,has_commercial_moves,has_corporate_reloc,has_govt,has_industrial_movers,has_dod_cert,has_pianos,has_safes,num_trucks,warehouse_size,business_type,since,bbb_link,dot_info,state_license_row,state_assoc_info
"A Wise Move, Inc.",awisemoveinc.com,205-276-4416,"4500 5Th Ave S., Bldg D",Birmingham,AL,35222,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,"","","","","","",Not Found
Anytime Movers LLC,,256-534-8606,309 Lowery St,Huntsville,AL,35805,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,"","","","","","",Not Found
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,5350 Shaune Dr,Juneau,AK,99801,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Father  Son Moving  Storage of Denver Co Inc.,www.fandsmoving.com,303-322-6562,4744 Forest St #K,Denver,CO,80216,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,6,"","","","","",No,""
Colonial Van Lines,www.colonialvanlines.com,800-356-1855,2000 Florida,Margate,FL,33063,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
In and Out Movers,www.inandoutmovers.net,301-762-6620,563 Southlawn Ln,Rockville,MD,20850,true,true,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,"","","","",http://www.bbb.org/washington-dc-eastern-pa/business-reviews/movers/in-and-out-movers-and-relocation-llc-in-rockville-md-1043442,"","",Not Found
All My Sons Moving  Storage of Pittsburgh,www.allmysons.com,412-328-2835,112 Starck Dr,Burgettstown,PA,15021,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
JOHNNY ON THE MOVE INC,johnnyonthemoveinc.com,708-345-0845,1677 clay ct,melrose park,IL,60160,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"","","",2015,"","","",Not Found
Gulf Coast Van Lines,www.gulfcoastvanlines.com,866-386-2612,3109 East 4th Ave ,Tampa,FL,33605,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
Power Play Movers,powerplaymovers.com,214-636-6392,4216 Chippewa Court,Carrollton,TX,75010,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,"","",Not Found
Best Movers Atlanta,atlanta-best-movers.com,404-910-3539,1100 Peachtree Street,Atlanta,GA,30309,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,"","","",2006,"","","",MEMBER
Solomon  Sons Relocation ,ssrelocation.com,888-201-6462,2780 Northeast 183rd Street ,Aventura,FL,33160,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"","","","",http://www.bbb.org/south-east-florida/business-reviews/moving-and-storage-company/solomon-and-sons-relocation-service-in-aventura-fl-90121321,"","",Not Found
Sacramento Moving Buddy,www.sacmovingbuddy.com,916-943-4122,2443 Fair Oaks Blvd. #219,Sacramento,CA,95825,true,false,true,true,true,true,false,false,false,false,false,true,false,false,false,false,true,true,0,"","","","","","",Not Found
Towne Services of San Antonio,www.towneservices.net,210-826-9551,4329 Interstate Way,san antonio,TX,78219,true,true,true,true,true,false,true,false,false,false,false,false,true,true,false,true,false,false,"","","",1967,"","","",Not Found
Federal Moving  Storage Co.,www.federalmovingandstorage.com,719-471-1780,709 E Nichols Blvd,Colorado Springs,CO,80907,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for National Van Lines
            ","","","",Inactive,""
Best in the west Moving  Storage,bestinthewestms.com,818-968-2558,12610 Raymer ave,north hollywood,CA,91605,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","",1978,"","","",Not Found
white red moving ,sanmateomoving.com,650-771-3283,21 22nd ave,san mateo,CA,94403,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","",2010,"","","",Not Found
k u moving and delivery,mykinguniversal.com,252-646-9551,2525 preston rd.,plano,TX,75093,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,true,"","","",2015,"","","",Not Found
Pro100movers  Storage,www.pro100movers.com,800-397-7885,842 Rockville Pike Building B,Rockville,MD,20852,true,false,true,true,true,true,false,true,false,false,false,false,false,false,false,false,true,false,"","","",2011,"","","",Not Found
AJ Movers,anjmovers.com,706-831-9948,5930 Old Augusta Hwy.,Harlem,GA,30814,true,false,true,true,false,false,false,true,true,false,false,true,true,false,true,false,false,false,"","","",2005,"","","",Not Found
"","","","","","","",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,
Ninja Moving,www.ninjamoving.com,469-525-3239,3001 S Hardin Blvd #100-422,McKinney,TX,75070,true,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,4,"","","","","","",Not Found
Family Movers Express-Moving  Storage,www.familymoversxpressorlando.com,919-650-4610,3208 Spottswood st #101,Raleigh,NC,27615,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,"","","",2012,"","","",Not Found
A+ Moving ,www.Aplusmovingelpaso.com,915-222-6190,9447 Diana ,El Paso,TX,79924,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,false,true,true,0,"","","","","","",Not Found
aa sapa moving,www.aasapamoving.org,773-691-9826,4225 n marmora,chicago,IL,60634,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
